series,episode,baker,last_name,result,technical,baker_age,baker_occupation,hometown,signature_bake,show_stopper,age,occupation
6,9,Ian,Cumming,IN,3,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Chocolate and Bay Tart,Chocolate Well,41,Travel photographer
6,9,Tamal,Ray,IN,2,29,Trainee anaesthetist,Manchester,Chocolate New York Pie,Chocolate Bell Tower,29,Trainee anaesthetist
6,9,Flora,Shedden,OUT,1,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Passion Fruit and Chocolate Tart,Cocoa Carousel,19,Art gallery assistant
6,9,Nadiya,Hussain,STAR BAKER,4,30,Full-time mother,Leeds / Luton,Peanut Salted Caramel and Chocolate Tart,Peacock in Nan's Door,30,Full-time mother
6,10,Ian,Cumming,Runner-up,2,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Elderflower and Lemon & Spiced Buns,Colossal Curvy Carrot Cake,41,Travel photographer
6,10,Tamal,Ray,Runner-up,3,29,Trainee anaesthetist,Manchester,Cinnamon and Apple & Toffee and Marmalade Iced Buns,Sticky Toffee Pudding Cake,29,Trainee anaesthetist
6,10,Nadiya,Hussain,WINNER,1,30,Full-time mother,Leeds / Luton,Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers,My Big Fat British Wedding Cake,30,Full-time mother
7,1,Andrew,Smyth,IN,12,25,Aerospace engineer,"Derby / Holywood, County Down",Lemon and Rosemary Drizzle Cake,'Ultimate Indulgence' Mirror Glaze Cake,25,Aerospace engineer
7,1,Benjamina,Ebuehi,IN,6,23,Teaching assistant,South London,"Pistachio, Cardamom and Lemon Drizzle Cake",White Chocolate Mirror Glaze with Salted Praline Buttercream,23,Teaching assistant
7,1,Candice,Brown,IN,5,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Raspberry and Rhubarb Drizzle Custard Bundt Cake,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?",31,PE teacher
7,1,Kate,Barmby,IN,4,37,Nurse,"Brooke, Norfolk",Berry Best Apple and Bramble Drizzle Cake,One Swallow Does Not Make A Summer Cake,37,Nurse
7,1,Louise,Williams,IN,9,46,Hairdresser,Cardiff,Orange Liqueur and Lemonade Drizzle Cake,White Chocolate Trifle Mirror Glaze Cake,46,Hairdresser
7,1,Michael,Georgiou,IN,3,20,Student,Durham,"Lime, Ginger and Honey Drizzle Cake",Matcha Tea Chocolate Mirror Glaze,20,Student
7,1,Rav,Bansal,IN,8,28,Student support,Erith,Ginger Spice Yuzu Drizzle Cake,Colombian Mocha Mirror Glaze Cake,28,Student support
7,1,Selasi,Gbormittah,IN,1,30,Client service associate,London,Citrus and Spice Drizzle Cake,"Raspberry, Sloe and White Chocolate Mirror Glaze Cake",30,Client service associate
7,1,Tom,Gilliford,IN,2,26,Project engagement manager,Rochdale,G&T Drizzle Cake,Black Forest Broken Mirror,26,Project engagement manager
7,1,Val,Stones,IN,10,66,"Semi-retired, Substitute teacher",Yeovil,Mum's Orange and Lemon Drizzle,Chocolate Sponge with Four Fruit Frosting,66,"Semi-retired, Substitute teacher"
7,1,Lee,Banfield,OUT,11,67,Pastor,Bolton,St. Clements Orange and Lemon Drizzle Cake,Strawberry Surprise Mirror Cake,67,Pastor
7,1,Jane,Beedle,STAR BAKER,7,61,Garden designer,Beckenham,Lemon and Poppy Seed Drizzle Cake,Chocolate Orange Mirror Cake,61,Garden designer
7,2,Andrew,Smyth,IN,4,25,Aerospace engineer,"Derby / Holywood, County Down",Beehive Biscuits,Punting in Cambridge,25,Aerospace engineer
7,2,Benjamina,Ebuehi,IN,3,23,Teaching assistant,South London,Bouquet Biscuits,"New York, New York",23,Teaching assistant
7,2,Jane,Beedle,IN,2,61,Garden designer,Beckenham,Flower Pot Iced Biscuits,Hastings Old Town Fishing Net Shops and Boat,61,Garden designer
7,2,Kate,Barmby,IN,1,37,Nurse,"Brooke, Norfolk","""A Biscuit for the Broads""","""I Promise I will do my best""",37,Nurse
7,2,Michael,Georgiou,IN,9,20,Student,Durham,"Malt, Chocolate and Orange Iced ""Beer"" Biscuits",Trip to See Santa in Lapland,20,Student
7,2,Rav,Bansal,IN,6,28,Student support,Erith,Union Jack Bunting Biscuits,Gingerbread Christmas Fairground,28,Student support
7,2,Selasi,Gbormittah,IN,11,30,Client service associate,London,"""Wheelie Hot Iced Biscuits""",Stained Glass Window Gingerbread Church,30,Client service associate
7,2,Tom,Gilliford,IN,7,26,Project engagement manager,Rochdale,Chai Frappelatteccino Biscuits,Tom and Pod's Near Death Experience,26,Project engagement manager
7,2,Val,Stones,IN,5,66,"Semi-retired, Substitute teacher",Yeovil,Sunday Treat Iced Ice Cream Cone Biscuits,From Holland to New York via Yorkshire,66,"Semi-retired, Substitute teacher"
7,2,Louise,Williams,OUT,10,46,Hairdresser,Cardiff,Baa Bara Brith Biscuits,Gingerbread Wedding,46,Hairdresser
7,2,Candice,Brown,STAR BAKER,8,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Salted Caramel, Chocolate Iced Shiny Hearts",Gingerbread Pub with Sticky Ginger Carpet,31,PE teacher
7,3,Andrew,Smyth,IN,2,25,Aerospace engineer,"Derby / Holywood, County Down",Chocolate Barmbrack Bread,Braided Harvest Bread Basket,25,Aerospace engineer
7,3,Benjamina,Ebuehi,IN,6,23,Teaching assistant,South London,"Chocolate, Tahini and Almond Babka",Braided Bread Heart,23,Teaching assistant
7,3,Candice,Brown,IN,3,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf",Italian Light and Dark Rye Twist,31,PE teacher
7,3,Jane,Beedle,IN,9,61,Garden designer,Beckenham,Chocolate and Cranberry Couronne,Chorizo and Chilli Flower with Parmesan and Pesto Centre,61,Garden designer
7,3,Kate,Barmby,IN,8,37,Nurse,"Brooke, Norfolk",Cobbled Loaf,The Corn Maiden,37,Nurse
7,3,Rav,Bansal,IN,10,28,Student support,Erith,"Chocolate, Cardamom and Hazelnut Loaf",Three Tier Diwali Bread Centrepiece,28,Student support
7,3,Selasi,Gbormittah,IN,5,30,Client service associate,London,"Chocolate, Orange and Cinnamon Bread",Bedouin Escape Tear and Share Bread,30,Client service associate
7,3,Val,Stones,IN,1,66,"Semi-retired, Substitute teacher",Yeovil,Double Chocolate Cinnamon Twist Loaf,"""And They All Went Into The Ark To Get Out Of The Rain""",66,"Semi-retired, Substitute teacher"
7,3,Michael,Georgiou,OUT,7,20,Student,Durham,Chocolate and Chilli Swirl Plait,Cypriot Dove and Olive Branch Plaited Loaf with Houmous,20,Student
7,3,Tom,Gilliford,STAR BAKER,4,26,Project engagement manager,Rochdale,Chocolate Orange and Chilli Swirl Bread,Jörmungandr and Mjölnir,26,Project engagement manager
7,4,Andrew,Smyth,IN,4,25,Aerospace engineer,"Derby / Holywood, County Down",Yorkshire 'Tapas' Puddings,Churros Window Box,25,Aerospace engineer
7,4,Candice,Brown,IN,2,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Yorkshire Wellingtons,Two-Way Peanut Butter Churros,31,PE teacher
7,4,Jane,Beedle,IN,3,61,Garden designer,Beckenham,Meat and Two Veg Yorkshires,Pistachio and White Chocolate Churros,61,Garden designer
7,4,Rav,Bansal,IN,9,28,Student support,Erith,Thai Tofu Panang Yorkshires,Three Dip Matcha Pistachio Churros,28,Student support
7,4,Selasi,Gbormittah,IN,8,30,Client service associate,London,Perfect Sunday Roast Accompaniment,Lemon and Anise Churros,30,Client service associate
7,4,Tom,Gilliford,IN,5,26,Project engagement manager,Rochdale,West Yorkshire Fusion Puddings,Fennel Churros Snake In The Grass,26,Project engagement manager
7,4,Val,Stones,IN,6,66,"Semi-retired, Substitute teacher",Yeovil,Mum's Chilli Yorkshire Puddings,Orange Chocolate Churros,66,"Semi-retired, Substitute teacher"
7,4,Kate,Barmby,OUT,7,37,Nurse,"Brooke, Norfolk",Christmas Dinner Compromise,Hot Cross Bunny Churros,37,Nurse
7,4,Benjamina,Ebuehi,STAR BAKER,1,23,Teaching assistant,South London,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",Tropical Churros,23,Teaching assistant
7,5,Andrew,Smyth,IN,6,25,Aerospace engineer,"Derby / Holywood, County Down",Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites,25,Aerospace engineer
7,5,Benjamina,Ebuehi,IN,5,23,Teaching assistant,South London,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,Plantain and Spinach Samosas and Chai Pear Cups,23,Teaching assistant
7,5,Jane,Beedle,IN,1,61,Garden designer,Beckenham,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones",61,Garden designer
7,5,Rav,Bansal,IN,8,28,Student support,Erith,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits",Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas,28,Student support
7,5,Selasi,Gbormittah,IN,3,30,Client service associate,London,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups",30,Client service associate
7,5,Tom,Gilliford,IN,4,26,Project engagement manager,Rochdale,Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers,Yin and Yang Amuse-bouche,26,Project engagement manager
7,5,Val,Stones,OUT,7,66,"Semi-retired, Substitute teacher",Yeovil,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels",66,"Semi-retired, Substitute teacher"
7,5,Candice,Brown,STAR BAKER,2,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups",31,PE teacher
7,6,Andrew,Smyth,IN,6,25,Aerospace engineer,"Derby / Holywood, County Down",Tangy Lime and Ginger Meringue Pie,Spring Elderflower Trio,25,Aerospace engineer
7,6,Benjamina,Ebuehi,IN,2,23,Teaching assistant,South London,Grapefruit and Ginger Meringue Pie,Floral Tea Cake,23,Teaching assistant
7,6,Candice,Brown,IN,5,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Lime, Coconut and Lemongrass Sugar Meringue Pie",Four Seasons Cake,31,PE teacher
7,6,Jane,Beedle,IN,4,61,Garden designer,Beckenham,Lime and Coconut Meringue Pie,Three Tier Orange Cake with a Floral Chocolate Collar,61,Garden designer
7,6,Selasi,Gbormittah,IN,7,30,Client service associate,London,"Grapefruit, Orange and Mint Meringue Pie",Three Tiered Ombré Floral Cake,30,Client service associate
7,6,Rav,Bansal,OUT,3,28,Student support,Erith,Mandarin Margarita Meringue Pie,Blossom Cake,28,Student support
7,6,Tom,Gilliford,STAR BAKER,1,26,Project engagement manager,Rochdale,Blood Orange Halloween Pumpkin Pie,Floral Tea Cake,26,Project engagement manager
7,7,Benjamina,Ebuehi,IN,3,23,Teaching assistant,South London,Piña Colada Roulade,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake,23,Teaching assistant
7,7,Candice,Brown,IN,2,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Crowd Pleaser Roulade,Blackberry and Raspberry Bubbles and After Dinner Mousse,31,PE teacher
7,7,Jane,Beedle,IN,4,61,Garden designer,Beckenham,Chocolate and Hazelnut Roulade,"Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses",61,Garden designer
7,7,Selasi,Gbormittah,IN,6,30,Client service associate,London,Summer Picnic Roulade,"Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes",30,Client service associate
7,7,Tom,Gilliford,OUT,5,26,Project engagement manager,Rochdale,Millionaire's Roulade,Hipster Picnic,26,Project engagement manager
7,7,Andrew,Smyth,STAR BAKER,1,25,Aerospace engineer,"Derby / Holywood, County Down",Tropical Holiday Roulade,Childhood Ice Cream Mousse Cakes,25,Aerospace engineer
7,8,Andrew,Smyth,IN,2,25,Aerospace engineer,"Derby / Holywood, County Down",Da Vinci Inspired Geared Pies,Jousting Knights Marchpane,25,Aerospace engineer
7,8,Jane,Beedle,IN,5,61,Garden designer,Beckenham,Tudor Rose Pies,Swans,61,Garden designer
7,8,Selasi,Gbormittah,IN,3,30,Client service associate,London,Bouquet of Flowers,Fruity Tudor Marchpane,30,Client service associate
7,8,Benjamina,Ebuehi,OUT,4,23,Teaching assistant,South London,Mexican Adventure,Tudor Garden,23,Teaching assistant
7,8,Candice,Brown,STAR BAKER,1,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Cheesy Cheeky Fish Pies,Peacock,31,PE teacher
7,9,Candice,Brown,IN,3,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers",Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies,31,PE teacher
7,9,Jane,Beedle,IN,1,61,Garden designer,Beckenham,"Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers",Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies,61,Garden designer
7,9,Selasi,Gbormittah,OUT,4,30,Client service associate,London,"Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers",Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies,30,Client service associate
7,9,Andrew,Smyth,STAR BAKER,2,25,Aerospace engineer,"Derby / Holywood, County Down",Cheesy Elephant Ears and Herby Treble Clefs,Philharmonic Fondants,25,Aerospace engineer
7,10,Andrew,Smyth,Runner-up,1,25,Aerospace engineer,"Derby / Holywood, County Down",Crunchy Caramel Cassis Crown,Family and Friends' Favourites Picnic,25,Aerospace engineer
7,10,Jane,Beedle,Runner-up,3,61,Garden designer,Beckenham,"Red, White and Blue Meringue Crown",Family Favourites Feast,61,Garden designer
7,10,Candice,Brown,WINNER,2,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Queen Victoria's Mango and Strawberry Crown,Picnic for Pearly Kings and Queens,31,PE teacher
8,1,Chris,Geiger,IN,12,50,Software developer,Bristol,Tropical Fresh Fruit Cake,'Raised Pork Pie and Egg Surprise' Cake,50,Software developer
8,1,Flo,Atkins,IN,9,71,Retired,Merseyside,Citrus Layer Cake,'One in a Melon' Cake,71,Retired
8,1,James,Hillery,IN,2,46,Banker,"Brentwood, Essex","Orange, Rhubarb & Ginger Crumble Cake",'Mock-accino and Croissant' Cake,46,Banker
8,1,Julia,Chernogorova,IN,3,21,Aviation Broker,"Crawley, West Sussex",Courgette and Lemon Cake,'Russian Doll' Cake,21,Aviation Broker
8,1,Kate,Lyon,IN,1,29,Health and safety inspector,Merseyside,Moroccan Strawberry and Rose Cake,'Chocolate Terrarium' Cake,29,Health and safety inspector
8,1,Liam,Charles,IN,8,19,Student,North London,Apple and Almond Crumble Maple Loaf,'Stackin' Sunday' Cake,19,Student
8,1,Sophie,Faldo,IN,5,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Pineapple and Coconut Sandwich Cake,'Champagne Bottle and Bucket' Cake,33,Former army officer and trainee stuntwoman
8,1,Stacey,Hart,IN,11,42,Former school teacher,"Radlett, Hertfordshire",Granny Smith Apple and Walnut Cake,'Black Evening Clutch Bag' Cake,42,Former school teacher
8,1,Tom,Hetherington,IN,7,29,Architect,Edinburgh,Gilded Pear and Cardamom Cake,'Stack of Books' Cake,29,Architect
8,1,Yan,Tsou,IN,4,46,Laboratory research scientist,North London,Windfall Apple Crumble Cake,'Banana-ramen' Cake,46,Laboratory research scientist
8,1,Peter,Abatan,OUT,10,52,IT programme manager,"Southend, Essex",Coconut Cake,'Bread on a Breadboard' Cake,52,IT programme manager
8,1,Steven,Carter-Bailey,STAR BAKER,6,34,Marketer,"Watford, Hertfordshire",Bonfire Night Cake,'A Baker's Lunch' Cake,34,Marketer
8,2,Flo,Atkins,IN,10,71,Retired,Merseyside,Gin Jam Butties,'Pick My Bones' Game,71,Retired
8,2,James,Hillery,IN,3,46,Banker,"Brentwood, Essex",Rhubarb and Custard Whirls,'Coppit' Game,46,Banker
8,2,Julia,Chernogorova,IN,4,21,Aviation Broker,"Crawley, West Sussex",Middle Eastern Delight Sandwich Biscuits,'A British Baking' Game,21,Aviation Broker
8,2,Kate,Lyon,IN,8,29,Health and safety inspector,Merseyside,Coconut Seashells for a Titanic Afternoon Tea,'Jungle' Game,29,Health and safety inspector
8,2,Liam,Charles,IN,7,19,Student,North London,Coffee Malted Pecan Shorties,'Classroom Classics' Game,19,Student
8,2,Sophie,Faldo,IN,2,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Lemon Limoncino Sandwich Biscuits,'Snakes and Ladders' Game,33,Former army officer and trainee stuntwoman
8,2,Stacey,Hart,IN,9,42,Former school teacher,"Radlett, Hertfordshire",Sparkly Chocolate and Marshmallow Fluff Cookies,'Get to School' Game,42,Former school teacher
8,2,Tom,Hetherington,IN,5,29,Architect,Edinburgh,Coffee and Amaretto Kisses,'Drain Pipes and Ladders' Game,29,Architect
8,2,Yan,Tsou,IN,1,46,Laboratory research scientist,North London,'Mrs. Marian's PB 'n' B' Biscuits,'Adventures in Bakeland' Game,46,Laboratory research scientist
8,2,Chris,Geiger,OUT,11,50,Software developer,Bristol,Chocolate Chia Seed Biscuits with Whisky Caramel Filling,'The Great British Sail Off' Game,50,Software developer
8,2,Steven,Carter-Bailey,STAR BAKER,6,34,Marketer,"Watford, Hertfordshire",Amarpressi Biscuits,'Check Bake' Game,34,Marketer
8,3,James,Hillery,IN,9,46,Banker,"Brentwood, Essex",Nordic Teacakes,'Owl in the Woods' Bread Sculpture,46,Banker
8,3,Kate,Lyon,IN,10,29,Health and safety inspector,Merseyside,Blueberry Buns,'Kraken' Bread Sculpture,29,Health and safety inspector
8,3,Liam,Charles,IN,5,19,Student,North London,Jamaican Spiced Teacakes,'Kneadapolitan' Bread Sculpture,19,Student
8,3,Sophie,Faldo,IN,6,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Tagine Teacakes,'Picnic Basket' Bread Sculpture,33,Former army officer and trainee stuntwoman
8,3,Stacey,Hart,IN,1,42,Former school teacher,"Radlett, Hertfordshire",Cranberry and Cinnamon Teacakes,'Ascot Hat' Bread Sculpture,42,Former school teacher
8,3,Steven,Carter-Bailey,IN,3,34,Marketer,"Watford, Hertfordshire",Madras Cocktail Teacakes,'The Bag I Knead' Bread Sculpture,34,Marketer
8,3,Tom,Hetherington,IN,4,29,Architect,Edinburgh,Orange and Cranberry Teacakes,'Pink & Yellow Rose Centrepiece' Bread Sculpture,29,Architect
8,3,Yan,Tsou,IN,8,46,Laboratory research scientist,North London,'Mrs P's' Masala Chai Spiced Teacakes,'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture,46,Laboratory research scientist
8,3,Flo,Atkins,OUT,7,71,Retired,Merseyside,Cinnamon and Orange Teacakes,'Davy Jones' Locker' Bread Sculpture,71,Retired
8,3,Julia,Chernogorova,STAR BAKER,2,21,Aviation Broker,"Crawley, West Sussex",Earl Grey Dried Fruit Teacakes,'The Snail Under a Mushroom' Bread Sculpture,21,Aviation Broker
8,4,James,Hillery,IN,2,46,Banker,"Brentwood, Essex",'Windy City' Millionaire Shortbreads,Nutty Caramel Cake,46,Banker
8,4,Julia,Chernogorova,IN,9,21,Aviation Broker,"Crawley, West Sussex",Pecan Salted Caramel Millionaire Shortbreads,Poppy Seed Caramel Cake,21,Aviation Broker
8,4,Liam,Charles,IN,3,19,Student,North London,Salted Peanut Butter Millionaire Shortbreads,White Layered Ginger Caramel Cake,19,Student
8,4,Sophie,Faldo,IN,4,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Jaffa Millionaire Shortbreads,Bird's Nest Caramel Cake,33,Former army officer and trainee stuntwoman
8,4,Stacey,Hart,IN,1,42,Former school teacher,"Radlett, Hertfordshire",Rum Salted Caramel Millionaire Shortbreads,Chocolate and Coffee Caramel Cake,42,Former school teacher
8,4,Steven,Carter-Bailey,IN,7,34,Marketer,"Watford, Hertfordshire",Orange Macadamia Nut Millionaire Shortbreads,Caramel Crown Cake,34,Marketer
8,4,Yan,Tsou,IN,8,46,Laboratory research scientist,North London,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,Animals of the Rainforest Caramel Cake,46,Laboratory research scientist
8,4,Tom,Hetherington,OUT,5,29,Architect,Edinburgh,Stem Ginger Caramel Shortbreads,Hummingbird Cake,29,Architect
8,4,Kate,Lyon,STAR BAKER,6,29,Health and safety inspector,Merseyside,Salted Bay Caramel Millionaire Shortbreads,Sticky Toffee Apple Caramel Cake,29,Health and safety inspector
8,5,Julia,Chernogorova,IN,3,21,Aviation Broker,"Crawley, West Sussex",Orange & Treacle Steamed School Pudding,'Opulent Ornament' Trifle Terrine,21,Aviation Broker
8,5,Kate,Lyon,IN,8,29,Health and safety inspector,Merseyside,'Mr Darcy's Steamy Lake Scene' Steamed School Pudding,'My Great Great Nan's' Raspberry Trifle Terrine,29,Health and safety inspector
8,5,Liam,Charles,IN,2,19,Student,North London,Cherries & Lemons that are 'Baked Well','Cheers Lads' Trifle Terrine,19,Student
8,5,Stacey,Hart,IN,4,42,Former school teacher,"Radlett, Hertfordshire",Bakewell Tart Steamed School Pudding,Tropical Trifle Terrine,42,Former school teacher
8,5,Steven,Carter-Bailey,IN,5,34,Marketer,"Watford, Hertfordshire",Lemon & Blackcurrant Drizzle Steamed School Pudding,'From Across the Jelly Pond' Trifle Terrine,34,Marketer
8,5,Yan,Tsou,IN,6,46,Laboratory research scientist,North London,Mango Fruit Hat Steamed School Pudding,'Heart of a Hero' Trifle Terrine,46,Laboratory research scientist
8,5,James,Hillery,OUT,7,46,Banker,"Brentwood, Essex",Orange and Ginger Steamed School Pudding,'The Missed Silver Jubilee' Trifle Terrine,46,Banker
8,5,Sophie,Faldo,STAR BAKER,1,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey","Ginger, Fig and Honey Steamed School Pudding","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine",33,Former army officer and trainee stuntwoman
8,6,Kate,Lyon,IN,5,29,Health and safety inspector,Merseyside,'Vegetarian Pie Faces' Decorative Pies,Potato Curry Pie with Mango & Chilli Glaze,29,Health and safety inspector
8,6,Sophie,Faldo,IN,2,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",'The Four Seasons' Decorative Pies,Game Pie with Glazed Forest Fruits,33,Former army officer and trainee stuntwoman
8,6,Stacey,Hart,IN,6,42,Former school teacher,"Radlett, Hertfordshire",'Love Theme' Decorative Pies,Indian Hand Raised Pie with Mango,42,Former school teacher
8,6,Steven,Carter-Bailey,IN,3,34,Marketer,"Watford, Hertfordshire",'Fleetwood Mac' Decorative Pies,Christmas Pie,34,Marketer
8,6,Yan,Tsou,IN,1,46,Laboratory research scientist,North London,'πr2' Decorative Pies,Chequerboard Pie,46,Laboratory research scientist
8,6,Julia,Chernogorova,OUT,7,21,Aviation Broker,"Crawley, West Sussex",'Pies from the Tree' Decorative Pies,'Special Occasion' Pie,21,Aviation Broker
8,6,Liam,Charles,STAR BAKER,4,19,Student,North London,'Standard FC' Decorative Pies,'Nan's Sunday Dinner' Pie,19,Student
8,7,Kate,Lyon,IN,6,29,Health and safety inspector,Merseyside,'Happy Hour' Cocktail Cannoli,'Flavour Fusion' Sfogliatelle,29,Health and safety inspector
8,7,Liam,Charles,IN,2,19,Student,North London,'Just Doing Me' Cannoli,'Morning Delivery' Sfogliatelle,19,Student
8,7,Sophie,Faldo,IN,3,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",'Classics with a Twist' Cannoli,'Classics' Sfogliatelle,33,Former army officer and trainee stuntwoman
8,7,Stacey,Hart,IN,4,42,Former school teacher,"Radlett, Hertfordshire",My All Time Favourite Desserts,Pastry Surprise,42,Former school teacher
8,7,Yan,Tsou,OUT,5,46,Laboratory research scientist,North London,Cannoli Cocktails,Canadian-Style Sfogliatelle,46,Laboratory research scientist
8,7,Steven,Carter-Bailey,STAR BAKER,1,34,Marketer,"Watford, Hertfordshire",Italian Style Cannoli,'Sicilian-style' Sfogliatelle,34,Marketer
8,8,Kate,Lyon,IN,2,29,Health and safety inspector,Merseyside,Burrito Bedfordshire Clangers,'Liver Building Turret' Savoy Cake,29,Health and safety inspector
8,8,Sophie,Faldo,IN,4,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Char Siu & Banana Praline Bedfordshire Clangers,Citrus with Green Apple Croquembouche Savoy Cake,33,Former army officer and trainee stuntwoman
8,8,Steven,Carter-Bailey,IN,1,34,Marketer,"Watford, Hertfordshire",'Mediterranean Medley' Bedfordshire Clangers,Chestnut Rum Savoy Cake,34,Marketer
8,8,Liam,Charles,OUT,5,19,Student,North London,'Take Out' Bedfordshire Clangers,'Fort Wizardore' Savoy Cake,19,Student
8,8,Stacey,Hart,STAR BAKER,3,42,Former school teacher,"Radlett, Hertfordshire",Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,'Bright' Lemon & Orange Savoy Cake,42,Former school teacher
8,9,Kate,Lyon,IN,4,29,Health and safety inspector,Merseyside,Bellini and Valencian Orange Choux Buns,'Rainbow' Meringue Centrepiece,29,Health and safety inspector
8,9,Steven,Carter-Bailey,IN,3,34,Marketer,"Watford, Hertfordshire",Key Lime Cheesecake and Bakewell Tart Choux Buns,'Some Air Over the Rainbow' Meringue Centrepiece,34,Marketer
8,9,Stacey,Hart,OUT,2,42,Former school teacher,"Radlett, Hertfordshire",'Choux-nicorn and Choux-moji' Choux Buns,'Flamingos in Love' Meringue Centrepiece,42,Former school teacher
8,9,Sophie,Faldo,STAR BAKER,1,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns,'Tutu with Opera Filling' Meringue Centrepiece,33,Former army officer and trainee stuntwoman
8,10,Kate,Lyon,Runner-up,3,29,Health and safety inspector,Merseyside,"Roman Spelt, Coconut Kala Chana and Flower Breads","White Chocolate, Yuzu and Lychee Entremet",29,Health and safety inspector
8,10,Steven,Carter-Bailey,Runner-up,1,34,Marketer,"Watford, Hertfordshire","Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",'Yin Yang' Entremet,34,Marketer
8,10,Sophie,Faldo,WINNER,2,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey","Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche",'Ode to the Honey Bee' Entremet,33,Former army officer and trainee stuntwoman
9,1,Antony,Amourdoux,IN,12,30,Banker,London,NA,NA,30,Banker
9,1,Briony,Williams,IN,2,33,Full-time parent,Bristol,NA,NA,33,Full-time parent
9,1,Dan,Beasley-Harling,IN,4,36,Full-time parent,London,NA,NA,36,Full-time parent
9,1,Jon,Jenkins,IN,5,47,Blood courier,Newport,NA,NA,47,Blood courier
9,1,Karen,Wright,IN,6,60,In-store sampling assistant,Wakefield,NA,NA,60,In-store sampling assistant
9,1,Kim-Joy,Hewlett,IN,10,27,Mental health specialist,Leeds,NA,NA,27,Mental health specialist
9,1,Luke,Thompson,IN,8,30,Civil servant/house and techno DJ,Sheffield,NA,NA,30,Civil servant/house and techno DJ
9,1,Rahul,Mandal,IN,7,30,Research scientist,Rotherham,NA,NA,30,Research scientist
9,1,Ruby,Bhogal,IN,1,29,Project manager,London,NA,NA,29,Project manager
9,1,Terry,Hartill,IN,9,56,Retired air steward,West Midlands,NA,NA,56,Retired air steward
9,1,Imelda,McCarron,OUT,11,33,Countryside recreation officer,County Tyrone,NA,NA,33,Countryside recreation officer
